"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Parent Molecule ChEMBL ID"
"CHEMBL1042";"CHOLECALCIFEROL";"Small molecule";"4";"1999";"'-calci-'";"C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C";"Vitamin D receptor agonist";"";"";"CHEMBL1977";"Vitamin D receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 15503649 URL: http://europepmc.org/abstract/MED/15503649|Type: PubMed RefID: 20435140 URL: http://europepmc.org/abstract/MED/20435140";"Cholecalciferol (BAN, FDA, JAN, USP)|Colecalciferol (BAN, INN)|Vitamin d assay system suitability (USP)|Vitamin d3 (MI)|";"A11CC05";"A11CC - Vitamin D and analogues";"A11C - VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO";"A11 - VITAMINS";"A - ALIMENTARY TRACT AND METABOLISM";"CHEMBL1042"
"CHEMBL459265";"HEXAMETHYL PARAROSANILINE";"Small molecule";"4";"1982";"";"CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1";"DNA inhibitor";"Generates free radicals causing DNA damage.";"";"CHEMBL2364041";"DNA";"INHIBITOR";"NUCLEIC-ACID";"Bacteria";"";"";"Type: PubMed RefID: 2272286 URL: http://europepmc.org/abstract/MED/2272286|Type: PubMed RefID: 3150994 URL: http://europepmc.org/abstract/MED/3150994";"Gentian Violet (FDA, MI, USP)|Methylrosanilinium Chloride (INN, JAN)|";"";"";"";"";"";"CHEMBL459265"
"CHEMBL614";"PYRAZINAMIDE";"Small molecule";"4";"1971";"";"NC(=O)c1cnccn1";"70S ribosome inhibitor";"";"";"CHEMBL2363965";"70S ribosome";"INHIBITOR";"PROTEIN NUCLEIC-ACID COMPLEX";"Mycobacterium tuberculosis";"30S ribosomal protein S1";"30S ribosomal protein S1";"Type: PubMed RefID: 21835980 URL: http://europepmc.org/abstract/MED/21835980|Type: Wikipedia RefID: Pyrazinamide#Mechanism_of_action URL: http://en.wikipedia.org/wiki/Pyrazinamide#Mechanism_of_action";"Pyrazinamide (BAN, FDA, INN, JAN, MI, USP)|";"J04AK01";"J04AK - Other drugs for treatment of tuberculosis";"J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS";"J04 - ANTIMYCOBACTERIALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL614"
"CHEMBL568";"OXAZEPAM";"Small molecule";"4";"1965";"'-azepam'";"O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O";"GABA-A receptor; anion channel positive allosteric modulator";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"POSITIVE ALLOSTERIC MODULATOR";"PROTEIN COMPLEX GROUP";"Homo sapiens";"Benzodiazepine binding site";"Benzodiazepine site";"Type: PubMed RefID: 2570451 URL: http://europepmc.org/abstract/MED/2570451|Type: PubMed RefID: 6135616 URL: http://europepmc.org/abstract/MED/6135616|Type: Wikipedia RefID: Oxazepam URL: http://en.wikipedia.org/wiki/Oxazepam";"Oxazepam (BAN, FDA, INN, JAN, MI, USAN, USP)|Oxazepam civ (USP)|Temazepam impurity, oxazepam- (USP)|";"N05BA04";"N05BA - Benzodiazepine derivatives";"N05B - ANXIOLYTICS";"N05 - PSYCHOLEPTICS";"N - NERVOUS SYSTEM";"CHEMBL568"
"CHEMBL1255794";"APLAVIROC";"Small molecule";"3";"";"'-vir-; -viroc'";"CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2";"C-C chemokine receptor type 5 antagonist";"Discontinueddue to liver toxicity concerns.";"";"CHEMBL274";"C-C chemokine receptor type 5";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 15280474 URL: http://europepmc.org/abstract/MED/15280474|Type: PubMed RefID: 18378711 URL: http://europepmc.org/abstract/MED/18378711";"Aplaviroc (INN)|Aplaviroc HCl (MI, USAN)|";"";"";"";"";"";"CHEMBL1255794"
"CHEMBL2109562";"CAL";"Antibody";"2";"";"";"";"Parathyroid hormone-related protein inhibitor";"";"";"CHEMBL3712869";"Parathyroid hormone-related protein";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: Other RefID: https://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=38505 URL: https://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=38505";"CAL";"";"";"";"";"";"CHEMBL2109562"
"CHEMBL1349";"VALACYCLOVIR";"Small molecule";"4";"1995";"'-vir'";"CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21";"Human herpesvirus 1 DNA polymerase inhibitor";"";"";"CHEMBL1872";"Human herpesvirus 1 DNA polymerase";"INHIBITOR";"SINGLE PROTEIN";"Herpes simplex virus (type 1 / strain 17)";"";"";"Type: FDA RefID: label/2010/020487s016lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/020487s016lbl.pdf";"Valaciclovir hydrochloride (JAN)|Valacyclovir HCl (FDA, MI, USAN, USP)|Valaciclovir (BAN, INN)|Valacyclovir (MI)|";"J05AB11";"J05AB - Nucleosides and nucleotides excl. reverse transcriptase inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL1349"
"CHEMBL485";"CODEINE";"Small molecule";"4";"1952";"";"COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314";"Opioid receptors; mu/kappa/delta agonist";"";"";"CHEMBL2095181";"Opioid receptors; mu/kappa/delta";"AGONIST";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: PubMed RefID: 15611852 URL: http://europepmc.org/abstract/MED/15611852|Type: PubMed RefID: 17620111 URL: http://europepmc.org/abstract/MED/17620111|Type: Wikipedia RefID: Codeine URL: http://en.wikipedia.org/wiki/Codeine|Type: Wikipedia RefID: Opioid_receptor URL: http://en.wikipedia.org/wiki/Opioid_receptor";"Codeine (BAN, MI, USP, BAN)|Codeine sulfate (FDA, MI, USP)|Codeine sulfate cii (USP)|Codeine Phosphate (BAN, FDA, JAN, MI, USP)|Codeine phosphate cii (USP)|Codeine phosphate hydrate (JAN)|Codeine Polistirex (FDA, USAN)|";"R05DA04 | N02AA59 | N02AA79";"R05DA - Opium alkaloids and derivatives | N02AA - Natural opium alkaloids | N02AA - Natural opium alkaloids";"R05D - COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS | N02A - OPIOIDS | N02A - OPIOIDS";"R05 - COUGH AND COLD PREPARATIONS | N02 - ANALGESICS | N02 - ANALGESICS";"R - RESPIRATORY SYSTEM | N - NERVOUS SYSTEM | N - NERVOUS SYSTEM";"CHEMBL485"
"CHEMBL190461";"CANNABIDIOL";"Small molecule";"4";"2018";"'-nab-'";"C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O";"Cannabinoid CB1 receptor negative allosteric modulator";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"NEGATIVE ALLOSTERIC MODULATOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 26218440 URL: http://europepmc.org/abstract/MED/26218440";"Cannabidiol (FDA, INN, MI, USAN)|";"N03AX24";"N03AX - Other antiepileptics";"N03A - ANTIEPILEPTICS";"N03 - ANTIEPILEPTICS";"N - NERVOUS SYSTEM";"CHEMBL190461"
"CHEMBL584";"NELFINAVIR";"Small molecule";"4";"1997";"'-vir'";"Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C";"Human immunodeficiency virus type 1 protease inhibitor";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"INHIBITOR";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"";"";"Type: DailyMed RefID: setid=e72c2bc6-9462-4a2e-8e1d-b97592376cbd URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e72c2bc6-9462-4a2e-8e1d-b97592376cbd";"Nelfinavir mesilate (JAN)|Nelfinavir mesylate (FDA, USAN, USP)|Nelfinavir methanesulfonate (MI)|Nelfinavir (BAN, INN, MI)|";"J05AE04";"J05AE - Protease inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL584"
"CHEMBL2107834";"RIOCIGUAT";"Small molecule";"4";"2013";"'-ciguat'";"COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N";"Soluble guanylate cyclase positive allosteric modulator";"Riociguat has a dual mode of action. It sensitizes sGC to endogenous NO by stabilizing the NO-sGC binding and it also directly stimulates sGC via a different binding site, independently of NO. Recent studies have suggested that sCG stimulators bind to an allosteric nucleotide-binding site in the catalytic domains of sCG. The exact molecular mechanism of sCG stimulation remains a matter of debate.";"";"CHEMBL2111348";"Soluble guanylate cyclase";"POSITIVE ALLOSTERIC MODULATOR";"PROTEIN COMPLEX GROUP";"Homo sapiens";"";"";"Type: DailyMed RefID: 7b57509a-3d5d-41d4-8fed-1471e26372a3 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7b57509a-3d5d-41d4-8fed-1471e26372a3|Type: PubMed RefID: 16955067 URL: http://europepmc.org/abstract/MED/16955067|Type: PubMed RefID: 19263460 URL: http://europepmc.org/abstract/MED/19263460";"Riociguat (FDA, INN, JAN, MI, USAN)|";"C02KX05";"C02KX - Antihypertensives for pulmonary arterial hypertension";"C02K - OTHER ANTIHYPERTENSIVES";"C02 - ANTIHYPERTENSIVES";"C - CARDIOVASCULAR SYSTEM";"CHEMBL2107834"
"CHEMBL1743029";"IBALIZUMAB";"Antibody";"4";"2018";"'-mab'";"";"T-cell surface antigen CD4 inhibitor";"Binds CD4, the primary receptor for human immunodeficiency virus type 1 (HIV-1), and inhibits the viral entry process.";"";"CHEMBL2754";"T-cell surface antigen CD4";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 19015347 URL: http://europepmc.org/abstract/MED/19015347|Type: PubMed RefID: 21134642 URL: http://europepmc.org/abstract/MED/21134642";"Ibalizumab (INN, USAN)|Ibalizumab-uiyk (FDA)|";"J05AX23";"J05AX - Other antivirals";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL1743029"
"CHEMBL820";"BUSULFAN";"Small molecule";"4";"1954";"'-sulfan'";"CS(=O)(=O)OCCCCOS(C)(=O)=O";"DNA inhibitor";"";"";"CHEMBL2311221";"DNA";"INHIBITOR";"NUCLEIC-ACID";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=03dc50f9-c7bd-4c0c-8bbb-c1216ec90c95 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=03dc50f9-c7bd-4c0c-8bbb-c1216ec90c95";"Busulfan (BAN, FDA, INN, JAN, MI, USP)|";"L01AB01";"L01AB - Alkyl sulfonates";"L01A - ALKYLATING AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL820"
"CHEMBL2109047";"INTERFERON ALFA-N3";"Protein";"4";"1989";"";"";"Interferon alpha/beta receptor agonist";"";"";"CHEMBL2364170";"Interferon alpha/beta receptor";"AGONIST";"PROTEIN COMPLEX";"Homo sapiens";"";"Alpha subunit is binding site";"Type: PubMed RefID: 10049744 URL: http://europepmc.org/abstract/MED/10049744";"Interferon Alfa-N3 (FDA, USAN)|";"";"";"";"";"";"CHEMBL2109047"
"CHEMBL2108508";"INTERFERON ALFA-2A";"Protein";"4";"1986";"";"";"Interferon alpha/beta receptor agonist";"";"";"CHEMBL2364170";"Interferon alpha/beta receptor";"AGONIST";"PROTEIN COMPLEX";"Homo sapiens";"";"Alpha subunit is binding site";"Type: PubMed RefID: 10049744 URL: http://europepmc.org/abstract/MED/10049744";"Interferon Alfa-2A (BAN, FDA, INN, USAN)|Interferon Alfa-2A (Genetical Recombination) (JAN)|";"L03AB04";"L03AB - Interferons";"L03A - IMMUNOSTIMULANTS";"L03 - IMMUNOSTIMULANTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL2108508"
"CHEMBL76";"CHLOROQUINE";"Small molecule";"4";"1949";"";"CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12";"Ferriprotoporphyrin IX inhibitor";"prevents crystallisation";"";"CHEMBL613897";"Ferriprotoporphyrin IX";"INHIBITOR";"SMALL MOLECULE";"Plasmodium falciparum";"";"";"Type: PubMed RefID: 14967191 URL: http://europepmc.org/abstract/MED/14967191";"Chloroquine sulfate (MI, USP)|Chloroquine Diphosphate (MI)|Chloroquine Phosphate (BAN, FDA, USP)|Chloroquine (BAN, INN, MI, USP)|Chloroquine HCl (FDA, USP)|";"P01BA01";"P01BA - Aminoquinolines";"P01B - ANTIMALARIALS";"P01 - ANTIPROTOZOALS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"CHEMBL76"
"CHEMBL1144";"PRAVASTATIN";"Small molecule";"4";"1991";"'-stat-'";"CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21";"HMG-CoA reductase inhibitor";"";"";"CHEMBL402";"HMG-CoA reductase";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=897ad8b7-921d-eb02-a61c-3419e662a2da URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=897ad8b7-921d-eb02-a61c-3419e662a2da";"Pravastatin (BAN, INN)|Pravastatin sodium (FDA, JAN, USAN)|Pravastatin Sodium (MI, USP)|";"C10AA03";"C10AA - HMG CoA reductase inhibitors";"C10A - LIPID MODIFYING AGENTS, PLAIN";"C10 - LIPID MODIFYING AGENTS";"C - CARDIOVASCULAR SYSTEM";"CHEMBL1144"
"CHEMBL88";"CYCLOPHOSPHAMIDE";"Small molecule";"4";"1959";"";"O=P1(N(CCCl)CCCl)NCCCO1";"DNA inhibitor";"";"";"CHEMBL2311221";"DNA";"INHIBITOR";"NUCLEIC-ACID";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=367b47d7-c4de-4b39-bd3a-69c29d80396f URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=367b47d7-c4de-4b39-bd3a-69c29d80396f";"Cyclophosphamide (BAN, FDA, INN, JAN, MI, USP, BAN, JAN, USP)|Cyclophosphamide anhydrous (MI)|Cyclophosphamide hydrate (JAN)|";"";"";"";"";"";"CHEMBL88"
"CHEMBL848";"LENALIDOMIDE";"Small molecule";"4";"2005";"'-domide; -nal-'";"Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O";"CRL4(CRBN) E3 ubiquitin ligase inhibitor";"";"";"CHEMBL3833061";"CRL4(CRBN) E3 ubiquitin ligase";"INHIBITOR";"PROTEIN COMPLEX";"Homo sapiens";"";"Cereblon";"Type: PubMed RefID: 22552008 URL: http://europepmc.org/abstract/MED/22552008|Type: PubMed RefID: 25043012 URL: http://europepmc.org/abstract/MED/25043012";"Lenalidomide (BAN, FDA, INN, MI, USAN)|";"L04AX04";"L04AX - Other immunosuppressants";"L04A - IMMUNOSUPPRESSANTS";"L04 - IMMUNOSUPPRESSANTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL848"
"CHEMBL1483";"ALBENDAZOLE";"Small molecule";"4";"1996";"'-bendazole'";"CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1";"Tubulin inhibitor";"";"";"CHEMBL2364705";"Tubulin";"INHIBITOR";"PROTEIN COMPLEX GROUP";"Nematoda";"Beta tubulin";"Binds to beta tubulin";"Type: DailyMed RefID: setid=e8941166-b77d-45aa-a6e8-04f1c0afd845 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e8941166-b77d-45aa-a6e8-04f1c0afd845|Type: ISBN RefID: 9780702034718 PP. 669 URL: http://www.isbnsearch.org/isbn/9780702034718|Type: PubMed RefID: 13678839 URL: http://europepmc.org/abstract/MED/13678839";"Albendazole (BAN, FDA, INN, JAN, MI, USAN, USP)|";"P02CA03";"P02CA - Benzimidazole derivatives";"P02C - ANTINEMATODAL AGENTS";"P02 - ANTHELMINTICS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"CHEMBL1483"
"CHEMBL467";"HYDROXYUREA";"Small molecule";"4";"1967";"";"NC(=O)NO";"Ribonucleoside-diphosphate reductase RR1 inhibitor";"";"";"CHEMBL2095215";"Ribonucleoside-diphosphate reductase RR1";"INHIBITOR";"PROTEIN COMPLEX GROUP";"Homo sapiens";"Ribonucleoside-diphosphate reductase M2 subunit";"M2 subunit is binding site";"Type: DailyMed RefID: setid=740e054b-faac-7c27-f06d-a56efb699355 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=740e054b-faac-7c27-f06d-a56efb699355|Type: PubMed RefID: 23115527 URL: http://europepmc.org/abstract/MED/23115527";"Hydroxycarbamide (INN, JAN)|Hydroxyurea (BAN, FDA, MI, USAN, USP)|";"L01XX05";"L01XX - Other antineoplastic agents";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL467"
"CHEMBL52440";"DEXTROMETHORPHAN";"Small molecule";"4";"1982";"'-orphan'";"COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3";"Glutamate [NMDA] receptor subunit epsilon 1 antagonist";"";"";"CHEMBL1972";"Glutamate [NMDA] receptor subunit epsilon 1";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 2897648 URL: http://europepmc.org/abstract/MED/2897648|Type: Wikipedia RefID: Dextromethorphan URL: http://en.wikipedia.org/wiki/Dextromethorphan|Type: Wikipedia RefID: Nmda_receptor_antagonist URL: http://en.wikipedia.org/wiki/Nmda_receptor_antagonist";"Dextromethorphan Polistirex (FDA, USAN)|Dextromethorphan Hydrobromide (BAN, FDA, JAN, USP)|Deudextromethorphan (USAN)|Dextromethorphan (BAN, INN, USP)|Deudextromethorphan hydrobromide (USAN)|";"N07XX59 | R05DA09";"N07XX - Other nervous system drugs | R05DA - Opium alkaloids and derivatives";"N07X - OTHER NERVOUS SYSTEM DRUGS | R05D - COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS";"N07 - OTHER NERVOUS SYSTEM DRUGS | R05 - COUGH AND COLD PREPARATIONS";"N - NERVOUS SYSTEM | R - RESPIRATORY SYSTEM";"CHEMBL52440"
"CHEMBL1017";"TELMISARTAN";"Small molecule";"4";"1998";"'-sartan'";"CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1";"Type-1 angiotensin II receptor antagonist";"";"";"CHEMBL227";"Type-1 angiotensin II receptor";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=cfb9309f-e0df-4a55-9542-0e869fce05fb#section-14 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cfb9309f-e0df-4a55-9542-0e869fce05fb#section-14|Type: PubMed RefID: 16938288 URL: http://europepmc.org/abstract/MED/16938288|Type: PubMed RefID: 18580862 URL: http://europepmc.org/abstract/MED/18580862|Type: Wikipedia RefID: Telmisartan URL: http://en.wikipedia.org/wiki/Telmisartan";"Telmisartan (BAN, FDA, INN, JAN, MI, USAN, USP)|";"C09CA07";"C09CA - Angiotensin II receptor blockers (ARBs), plain";"C09C - ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN";"C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM";"C - CARDIOVASCULAR SYSTEM";"CHEMBL1017"
"CHEMBL444633";"RIFABUTIN";"Small molecule";"4";"1992";"'rifa-'";"CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O";"Bacterial DNA-directed RNA polymerase inhibitor";"";"";"CHEMBL2364672";"Bacterial DNA-directed RNA polymerase";"INHIBITOR";"PROTEIN COMPLEX";"Bacteria";"RNA polymerase beta/beta prime subunit";"Beta subunit is binding site";"Type: PubMed RefID: 7849340 URL: http://europepmc.org/abstract/MED/7849340";"Rifabutin (BAN, FDA, INN, JAN, MI, USAN, USP)|";"J04AB04";"J04AB - Antibiotics";"J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS";"J04 - ANTIMYCOBACTERIALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL444633"
"CHEMBL2103792";"AGATOLIMOD";"Oligonucleotide";"3";"";"'-imod'";"Cc1cn([C@H]2C[C@H](O)[C@@H](COP(O)(=S)O[C@H]3C[C@H](n4ccc(N)nc4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4ccc(N)nc4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4ccc(N)nc4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4ccc(N)nc4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cnc5c(=O)[nH]c(N)nc54)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3COP(O)(=S)O[C@H]3C[C@H](n4cc(C)c(=O)[nH]c4=O)O[C@@H]3CO)O2)c(=O)[nH]c1=O";"Toll-like receptor 9 agonist";"Targets TLR9, thereby activating dendritic and B cells and stimulating cytotoxic T cell and antibody responses against tumor cells bearing tumor antigens";"";"CHEMBL5804";"Toll-like receptor 9";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: Other RefID: https://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=38660 URL: https://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=38660|Type: PubMed RefID: 18596994 URL: http://europepmc.org/abstract/MED/18596994";"Agatolimod (INN, MI, USAN)|Agatolimod Sodium (USAN)|Agatolimod tricosasodium salt (MI)|";"";"";"";"";"";"CHEMBL2103792"
